,2,3,4,6,8,10,15,20
10,0,0,0,0,0,0,0,0
15,0,0,0,0,0.092,0.269,0.5,0.643
25,0,0,0,0.05,0.277,0.411,0.613,0.724
40,0,0,0,0.205,0.394,0.41,0.69,0.782
70,0,0,0.035,0.34,0.5,0.608,0.75,0.834
100,0,0,0.133,0.418,0.564,0.66,0.793,0.862
150,0,0.01,0.245,0.498,0.631,0.713,0.829,0.887
200,0,0.085,0.326,0.564,0.684,0.756,0.859,0.908
300,0,0.213,0.425,0.643,0.749,0.81,0.892,0.929
400,0.04,0.303,0.5,0.698,0.793,0.849,0.919,0.95
600,0.121,0.355,0.53,0.731,0.827,0.876,0.939,0.963
1000,0.14,0.358,0.535,0.738,0.834,0.886,0.944,0.966
1400,0.168,0.36,0.534,0.735,0.84,0.89,0.95,0.97
1800,0.117,0.288,0.456,0.68,0.8,0.865,0.935,0.965
2400,0.075,0.22,0.372,0.606,0.743,0.823,0.92,0.95
3000,0.05,0.17,0.306,0.546,0.69,0.785,0.9,0.94
